유동비율,258.5,218.8,252.9,284.4,288.3
당좌비율,225.0,181.6,210.9,242.4,244.4
부채비율,35.9,40.7,37.0,34.1,34.2
유보율,"21,757.6","23,681.4","26,648.2","28,302.4","28,699.8"
순차입금비율,N/A,N/A,N/A,N/A,N/A
이자보상배율,49.7,81.9,87.3,40.5,46.0
자기자본비율,73.6,71.1,73.0,74.6,74.5
매출액증가율,0.6,18.7,1.8,-5.5,5.6
판매비와관리비증가율,3.1,8.2,-7.3,5.5,5.0
영업이익증가율,10.7,83.5,9.8,-52.8,3.4
EBITDA증가율,5.5,51.7,12.7,-32.8,3.9
EPS증가율,24.5,98.2,11.1,-47.5,-4.3
매출총이익율,40.4,46.0,45.7,36.1,37.1
세전계속사업이익률,15.2,23.5,25.1,13.2,12.2
영업이익률,14.5,22.4,24.2,12.1,11.7
EBITDA마진율,24.8,31.6,35.0,24.9,25.0
ROA,9.0,15.0,13.8,6.3,5.5
ROE,12.5,21.0,19.6,8.7,7.6
ROIC,20.3,33.2,30.4,13.2,12.0
총자산회전율영업수익,0.8,0.9,0.8,0.7,0.6
총부채회전율영업수익,3.1,3.1,2.7,2.5,2.5
총자본회전율영업수익,1.1,1.2,1.1,0.9,0.8
순운전자본회전율영업수익,16.2,25.0,19.8,15.4,16.5
매출액증가율,-13.5,-4.0,-5.3,1.1,5.6
영업이익증가율,-60.2,-55.6,-55.7,-33.7,3.4
EBITDA증가율,-39.2,-36.9,-40.0,-10.1,3.9
EPS증가율,-52.5,-50.3,-49.2,-33.8,-4.3
세전계속사업이익률,13.2,12.8,13.9,12.9,12.2
영업이익률,11.9,11.8,12.5,12.0,11.7
EBITDA마진율,25.4,24.0,23.6,26.6,25.0
